Article Code,Article Description,EAN Code,Brand,Category,Sub-category,Range,Pack Size
494409844.0,ME Charcoal Moisturizing Body Wash 500 ml,8904417317701.0,Mamaearth,Body,Body Wash,Charcoal,500.0
494590488.0,"ME Aloe lotion, 48h hydration 400ML",8904417320183.0,Mamaearth,Body,Body Lotion,Aloe Vera,400.0
493111441.0,Vitamin C Sunscreen Body Lotion 300 ml,8906087779254.0,Mamaearth,Body,Body Lotion,Vitamin C,300.0
574270.0,Hibiscus Damage Repair Hair Oil 150 ml,8904417312300.0,Mamaearth,Hair,Hair Oil,Hibiscus,150.0
,Honey Malai face Scrub,8904417302332.0,Mamaearth,Face,Face Scrub,Honey Malai,100.0
THE0554,Oil-Free Daily Face Moisturizer,8906087779292.0,The Derma Co.,Face,Moisturisers,Hyaluronic Acid,100.0
494409843.0,ME Aloe Vera Moisturizing Body Wash 500 ml,8904417317695.0,Mamaearth,Body,Body Wash,Aloe Vera,500.0
,Oil-Free Face Wash 250 ml,8904417301779.0,Mamaearth,Face,Face Cleanser,Apple Cider Vinegar,250.0
,1% Kojic Acid Daily Brightening BodyWash,8904417306699.0,The Derma Co.,Body,Body Wash,Kojic Acid,250.0
,Deep-Ocean Blue Long Stay Kajal 0.35 g,8904417301717.0,Mamaearth,Color Care,Kajal,Kajal,0.35
564063.0,Forest Green Long Stay Kajal 0.35 g,8904417301694.0,Mamaearth,Color Care,Kajal,Kajal,0.35
571749.0,Soft Matte Long Stay Lipstick 09 Honey Blush 3.5 g,8904417306194.0,Mamaearth,Color Care,Lipstick,Soft Matte,3.5
571743.0,SoftMatte Long stay Lipstick 01 Mocha Brown 3.5 g,8904417305999.0,Mamaearth,Color Care,Lipstick,Soft Matte,3.5
,Soft Matte Long Stay Lipstick 06 Petal Pink 3.5 g,8904417306156.0,Mamaearth,Color Care,Lipstick,Soft Matte,3.5
,Soft Matte Long Stay Lipstick 08 Red Dahlia 3.5 g,8904417306187.0,Mamaearth,Color Care,Lipstick,Soft Matte,3.5
,CoCo T 100% N L Balm 2 g (Blister Pack),8904417303438.0,Mamaearth,Face,Lip Balm,Coco,2.0
388415.0,Tea Tree Hair Oil 250 ml,8906087774273.0,Mamaearth,Hair,Hair Oil,Tea Tree,250.0
491938247.0,BhringAmla Conditioner with Bhringraj & Amla for Intense Hair Treatment Ã¯Â¿Â½ 250ml,8906087772903.0,Mamaearth,Hair,Conditioner,Bhringamla,250.0
,Cherry T 100%N L Balm 2 g (Blister Pack),8904417303445.0,Mamaearth,Face,Lip Balm,Cherry,2.0
492506705.0,Mamaearth Tea Tree Oil-Free Face Moisturizer 80g,8906087775546.0,Mamaearth,Face,Moisturisers,Tea Tree,80.0
493695885.0,Vitamin C Daily Glow Face Cream 150 gm,8904417302608.0,Mamaearth,Face,Face Cream,Vitamin C,150.0
576153.0,TDC 1% Hyaluronic Sunscreen Aqua Gel 125g,8904417314618.0,The Derma Co.,Face,Sun Care,Hyaluronic Acid,125.0
