Chain,Brand,Article_Code,Assortment_Type
APNA KLUB,MAMAEARTH,8904417307764,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417308099,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417308129,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417309546,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417310023,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417310030,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417310245,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417310351,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417311440,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417311501,Brand_Pareto_Assortment_Fallback
APNA KLUB,MAMAEARTH,8904417311549,Brand_Pareto_Assortment_Fallback
